column,dtype,feature_group,n_unique,protected,notes
customerID,object,categorical_high_card,7043,False,high-card categorical (n_unique=7043 > 20)
gender,object,categorical_low_card,2,False,low-card categorical (n_unique=2 ≤ 20)
SeniorCitizen,int64,numeric_flag,2,True,special numeric flag (2.1.3)
Partner,object,categorical_low_card,2,False,low-card categorical (n_unique=2 ≤ 20)
Dependents,object,categorical_low_card,2,False,low-card categorical (n_unique=2 ≤ 20)
tenure,int64,numeric_continuous,73,False,numeric continuous / high-card
PhoneService,object,categorical_low_card,2,False,low-card categorical (n_unique=2 ≤ 20)
MultipleLines,object,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
InternetService,object,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
OnlineSecurity,object,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
OnlineBackup,object,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
DeviceProtection,object,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
TechSupport,object,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
StreamingTV,object,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
StreamingMovies,object,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
Contract,object,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
PaperlessBilling,object,categorical_low_card,2,False,low-card categorical (n_unique=2 ≤ 20)
PaymentMethod,object,categorical_low_card,4,False,low-card categorical (n_unique=4 ≤ 20)
MonthlyCharges,float64,numeric_continuous,1585,False,numeric continuous / high-card
TotalCharges,float64,numeric_continuous,6530,False,numeric continuous / high-card
Churn,object,target_aux,2,True,raw target label
