feature,dtype,role
gender,category,feature
SeniorCitizen,int64,feature
Partner,category,feature
Dependents,category,feature
tenure,int64,feature
PhoneService,category,feature
MultipleLines,category,feature
InternetService,category,feature
OnlineSecurity,category,feature
OnlineBackup,category,feature
DeviceProtection,category,feature
TechSupport,category,feature
StreamingTV,category,feature
StreamingMovies,category,feature
Contract,category,feature
PaperlessBilling,category,feature
PaymentMethod,category,feature
MonthlyCharges,float64,feature
TotalCharges,float64,feature
Churn_flag,Int8,feature
SeniorCitizen_flag_text,category,feature
Senior_flag,boolean,feature
pseudo_start,datetime64[s],feature
pseudo_end,datetime64[ns],feature
expected_total_from_tenure_monthly,float64,feature
expected_total_for_zero_tenure,float64,feature
expected_min_total_from_contract,float64,feature
expected_total_senior,float64,feature
expected_total_from_payment_profile,float64,feature
_logic_repair_applied,bool,feature
tenure_months_bucket,category,feature
total_charges_per_month,float64,feature
